FID,TRIP_ID,DATE_TRIP,YEAR,MONTH,SITE_CODE,LATITUDE,LONGITUDE,GEOM,GENUS_SPECIES,COUNT_SPECIES,SEX,DEV_STAGE,ABUNDANCE
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1993,4,2010-02-25T00:00:00,2010,2,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,2,female,,15.7705
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1994,6,2010-03-18T00:00:00,2010,3,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,17,female,,189.0507
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1995,8,2010-05-19T00:00:00,2010,5,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,2,female,,14.8224
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1996,8,2010-05-19T00:00:00,2010,5,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,male,,7.4112
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1997,17,2011-03-21T00:00:00,2011,3,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,18,female,,272.897
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1998,17,2011-03-21T00:00:00,2011,3,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,male,,15.1609
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_1999,18,2011-04-18T00:00:00,2011,4,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,11,female,,68.8666
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_199a,18,2011-04-18T00:00:00,2011,4,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,3,male,,18.7818
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_199b,26,2011-12-15T00:00:00,2011,12,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,4.6859
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_199c,28,2012-02-21T00:00:00,2012,2,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,male,,23.173
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_199d,28,2012-02-21T00:00:00,2012,2,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,23.173
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_199e,33,2012-08-01T00:00:00,2012,8,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,4.4815
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_199f,34,2012-08-28T00:00:00,2012,8,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,5.0383
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a0,34,2012-08-28T00:00:00,2012,8,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,male,,5.0383
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a1,38,2013-01-22T00:00:00,2013,1,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,2.9947
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a2,4,2010-02-25T00:00:00,2010,2,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,3,female,,138.7397
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a3,4,2010-02-25T00:00:00,2010,2,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,male,,46.2466
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a4,7,2010-04-21T00:00:00,2010,4,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,2,female,,51.3362
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a5,7,2010-04-21T00:00:00,2010,4,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,male,,25.6681
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a6,6,2010-03-18T00:00:00,2010,3,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,4,female,,92.5427
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a7,6,2010-03-18T00:00:00,2010,3,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,male,,23.1357
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a8,53,2014-12-12T00:00:00,2014,12,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,13.1549
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19a9,56,2015-04-22T00:00:00,2015,4,SB2,-43.17,147.555,POINT (147.555 -43.17),Calocalanus pavo,1,female,,15.4875
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19aa,10,2010-07-22T00:00:00,2010,7,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,2,female,,60.5162
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19ab,13,2010-10-28T00:00:00,2010,10,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,female,,8.5323
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19ac,15,2010-12-14T00:00:00,2010,12,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,female,,11.8149
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19ad,17,2011-03-21T00:00:00,2011,3,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,7,female,,159.0502
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19ae,17,2011-03-21T00:00:00,2011,3,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,male,,22.7215
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19af,18,2011-04-18T00:00:00,2011,4,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,female,,11.1206
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19b0,20,2011-06-15T00:00:00,2011,6,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,female,,3.2807
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19b1,22,2011-08-22T00:00:00,2011,8,SB5,-43.1132,147.6572,POINT (147.6572 -43.1132),Calocalanus pavo,1,female,,36.2589
